Rank,Player,Team,Position,"Pool Geek Value","Games Played",W,SV%,GAA,G,A,+/-,PIM,SOG,PPP,HITS,BKS,FOW
73,"Matt Martin",NYI,LW,80,13,,,,1,4,0,9,20,1,73,3,4
74,"Blake Wheeler",WPG,RW,80,15,,,,7,3,0,8,31,2,22,11,0
75,"Barret Jackman",STL,D,79,13,,,,0,6,0,20,11,0,27,36,0
76,"Mike Cammalleri",CGY,LW,79,13,,,,5,5,-6,2,35,5,6,2,142
77,"Henrik Sedin",VAN,C,79,15,,,,6,7,6,10,25,2,6,4,150
78,"Alexander Edler",VAN,D,78,13,,,,1,4,0,15,42,0,24,23,1
79,"Nicklas Backstrom",WSH,C,78,14,,,,3,11,2,4,21,5,9,10,103
80,"Brad Boyes",NYI,RW,77,13,,,,4,8,1,2,26,5,17,5,1
81,"Lars Eller",MTL,C,77,13,,,,2,6,5,12,31,1,30,12,81
82,"Paul Martin",PIT,D,76,12,,,,2,4,14,6,18,3,11,21,0
83,"Jonathan Toews",CHI,C,75,11,,,,7,7,7,2,36,1,9,4,126
84,"Justin Abdelkader",DET,LW,75,13,,,,6,1,8,8,30,0,32,5,5
85,"Mike Weber",BUF,D,75,13,,,,1,1,0,25,9,0,41,28,0
86,"Curtis Glencross",CGY,LW,75,11,,,,6,4,2,8,28,3,13,6,6
87,"Roman Josi",NSH,D,74,13,,,,2,7,0,4,30,4,10,22,0
88,"Tyler Ennis",BUF,LW,73,12,,,,2,7,-3,8,24,5,5,12,48
89,"Colton Orr",TOR,RW,72,13,,,,0,1,0,57,4,0,18,5,0
90,"Ilya Kovalchuk",NJD,LW,72,12,,,,3,7,-3,8,43,4,7,3,3
91,"Antoine Roussel",DAL,LW,72,11,,,,1,2,0,43,12,0,23,4,8
92,"Cody Hodgson",BUF,C,72,13,,,,4,6,3,6,31,4,6,11,106
93,"Jared Spurgeon",MIN,D,71,12,,,,3,7,9,0,17,4,17,12,0
94,"Alex Burrows",VAN,RW,71,15,,,,4,4,7,12,43,0,11,4,5
95,"Marc-Andre Fleury",PIT,G,71,9,8,0.915,2.32,,,,,,,,,
96,"Sergei Bobrovsky",CBJ,G,71,13,8,0.9125,2.545,,,,,,,,,
97,"Wayne Simmonds",PHI,RW,70,11,,,,3,4,-8,15,19,6,25,6,0
98,"Johan Franzen",DET,RW,69,13,,,,4,5,5,2,43,3,10,3,4
99,"Nick Foligno",CBJ,LW,69,12,,,,3,3,4,4,20,1,43,12,1
100,"Gabriel Bourque",NSH,LW,69,13,,,,7,3,1,0,28,2,24,10,1
101,"Jakub Voracek",PHI,RW,69,11,,,,6,4,-6,2,34,7,7,5,0
102,"Joe Thornton",SJS,C,68,14,,,,1,9,0,6,21,5,9,10,146
103,"David Krejci",BOS,C,68,14,,,,2,10,-5,6,32,4,14,7,123
104,"Kyle Clifford",LAK,LW,68,15,,,,2,0,-3,27,14,0,56,4,0
105,"John Tavares",NYI,C,68,13,,,,8,3,0,4,38,4,10,2,96
106,"Ryan O'Reilly",COL,C,67,14,,,,4,9,-3,2,46,4,3,3,114
